launch_id,date,year,month,rocket,launch_site,country,operator,mission_type,orbit,payload_mass_kg,n_payloads,launch_success,failure_mode,crewed,crew_size,booster_reused,launch_cost_m_usd,rocket_era,rocket_type,payload_to_leo_kg,cost_per_kg_usd,payload_utilization_pct,mission_outcome
SL000001,2015-01-15,2015,1,Long March 3B,Jiuquan Satellite Launch,China,CASC,Commercial Satellite,LEO,1335,1,1,None - Successful Launch,0,0,0,87.2,Modern,orbital,5216,65318.35205992509,25.594325153374232,Success
SL000002,1988-09-18,1988,9,Juno I,Wallops Flight Facility,USA,Army,Human Spaceflight,ISS,5,1,0,guidance failure,1,1,0,45.0,Cold War,orbital,6,9000000.0,83.33333333333334,Failure
SL000003,2020-11-14,2020,11,Antares,Mahia Peninsula LC-1,USA,Northrop,Communications,GEO,979,1,1,None - Successful Launch,0,0,0,74.4,Modern,orbital,3628,75995.9141981614,26.9845644983462,Success
SL000004,2009-03-04,2009,3,Long March 2C,Taiyuan Satellite Launch,China,CASC,Space Station Resupply,LEO,310,1,1,None - Successful Launch,0,0,0,24.3,Modern,orbital,1746,78387.09677419355,17.75486827033219,Success
SL000005,1968-05-20,1968,5,Sputnik (R-7),Kapustin Yar,USSR,OKB-1,Defense/Intelligence,LEO,112,1,0,fairing failure,0,0,0,45.0,Cold War,orbital,226,401785.71428571426,49.557522123893804,Failure
SL000006,2024-08-11,2024,8,Long March 2F,Wenchang Space Launch,China,CASC,IoT/Cubesat,SSO,1360,53,1,None - Successful Launch,0,0,0,23.3,Modern,crewed,3810,17132.352941176472,35.69553805774278,Success
SL000007,2014-09-01,2014,9,H-II,Uchinoura Space Center,Japan,NASDA,IoT/Cubesat,LEO,1726,1,1,None - Successful Launch,0,0,0,166.2,Post-Cold War,orbital,2721,96292.00463499421,63.43256155825065,Success
SL000008,2015-01-09,2015,1,Scout,SpaceX Starbase (Boca Chica),USA,LTV,IoT/Cubesat,SSO,16,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,90,2812500.0,17.77777777777778,Success
SL000009,1970-01-13,1970,1,Cyclone-2,Plesetsk Cosmodrome,USSR,Yuzhnoye,Human Spaceflight,ISS,1056,1,1,None - Successful Launch,1,5,0,45.0,Cold War,orbital,1360,42613.63636363636,77.64705882352942,Success
SL000010,1989-02-27,1989,2,Vostok-K,Kapustin Yar,USSR,OKB-1,Space Telescope,GTO,665,1,1,None - Successful Launch,0,0,0,45.0,Cold War,orbital,2145,67669.17293233082,31.002331002331,Success
SL000011,1985-09-01,1985,9,Vostok-K,Baikonur Cosmodrome,USSR,OKB-1,Interplanetary,Interplanetary,658,1,0,guidance failure,0,0,0,45.0,Cold War,orbital,2145,68389.05775075988,30.67599067599068,Failure
SL000012,2022-01-05,2022,1,Zhuque-2,SpaceX Starbase (Boca Chica),Other,LandSpace,Earth Observation,GTO,475,1,1,None - Successful Launch,0,0,0,11.3,New Space,commercial,2721,23789.473684210527,17.456817346563763,Success
